,For_key_ID,LSST_u,LSST_g,LSST_r,LSST_i,LSST_z,VIS,NISP_Y,NISP_J,NISP_H,z,t/Gyr,M*,M_initial,Z,SFH,tau/Gyr,Av_law,Av,t_l,physical,delta_LSST_u,delta_LSST_g,delta_LSST_r,delta_LSST_i,delta_LSST_z,delta_VIS,delta_NISP_Y,delta_NISP_J,delta_NISP_H
124400,695377,18.819479713679158,17.846776449131525,15.754014520146168,15.408735825163946,15.621193524217784,15.676089486486886,16.07723669945689,16.532205541602476,17.40672694534885,5.34,0.001,0.9845,10000000000.0,0.3,1.0,0.1,0.0,0.0,12.695549,True,0.010662138507603185,0.005552957121459424,0.0041752676441194035,0.004827967300331178,0.006347523537492614,0.0023259711300988284,0.011083688710815862,0.013158437438659834,0.018252582495127213
106564,610330,23.013388077874463,22.62877923137479,22.248574532418324,20.755055890385044,20.04100696341061,21.379362024814053,19.462424394836205,18.83621933472601,17.757856103536312,0.87,1.0,0.6684,10000000000.0,0.3,1.0,10.0,1.0,0.4,7.350039,True,0.05420562046902959,0.037781945739322906,0.05619327189792877,0.043315598546404106,0.03943159276831978,0.022550922890975118,0.04532359185078883,0.03346912202860616,0.02095869897206977
93170,591652,22.164272869097942,18.46951174400371,17.199065088671702,17.469592253592243,17.36134025166102,17.337709344842892,17.557236954149563,18.04452235946896,18.65128117085193,3.98,0.02,0.8752,10000000000.0,0.3,1.0,1.0,0.0,0.0,12.225584,True,0.039293826207059665,0.007125319123463737,0.007443279373746283,0.011112309272438612,0.012883810249228777,0.004516523975403414,0.020336879716147557,0.02425293595777776,0.02974707853083978
39386,267704,24.129345699617854,23.63734348988244,23.477834940750643,23.188724475629602,22.962716505492484,23.61752594092891,22.46131199399766,21.963869563906908,22.060671545172127,1.96,0.6,0.6954,10000000000.0,0.3,1.0,3.0,1.0,0.2,10.427619,True,0.08186237117024685,0.05671322184107636,0.09199502038392153,0.12835249641328825,0.15128794368878676,0.05436060981347726,0.1821731299029369,0.12307343442612735,0.10878382369481704
185733,858189,23.601525650750126,22.791105425271148,20.844239798303768,19.317154209035948,18.681411902145488,19.94648859487715,17.77364032931999,16.988101563248442,16.230381192684064,0.6,1.5,0.633,10000000000.0,-0.3,1.0,1.0,1.0,0.4,5.8649516,True,0.06747832908954282,0.04033149493715988,0.032015797174563085,0.023698688904964668,0.022212851845442808,0.012772747297907498,0.022243561242777744,0.015815550745679658,0.011464742899211663
181286,850500,16.53572846420454,16.421437552062635,16.492329708013035,16.621497593856713,16.722835611552632,16.584980063137788,15.968665504740475,15.85437709847653,15.680820016122365,1.52,0.02,0.8752,10000000000.0,-0.3,1.0,1.0,1.0,0.4,9.5482111,True,0.00430808556029106,0.003138804885950884,0.0056100188430043725,0.007877788556652674,0.009926686810009798,0.003344138994365631,0.010604356510789028,0.010014847026452214,0.009219010719836279
26836,151977,20.030363888102404,19.876953620953454,18.459078991692685,17.429497249543132,17.04352876802094,17.891429817423855,16.510165928108588,16.02372102012042,15.558823747679446,0.57,2.0,0.6349,10000000000.0,-0.3,1.0,3.0,0.0,0.0,5.600986,True,0.017176090510341524,0.012521152931071,0.01232322335367491,0.010932621685899271,0.011313691179103837,0.005633318676882293,0.01322526308282848,0.01072122276793246,0.008783029065826491
198712,919968,24.1288378641808,22.65557060473614,21.705420912058827,21.00399483168132,20.571451954608463,21.402405752676593,19.399188877000686,18.73436542624097,18.169232732020113,1.6,0.008,0.9261,10000000000.0,0.0,1.0,0.1,1.0,0.8,9.7341805,True,0.08184729295300197,0.03819128930011892,0.045202694126228286,0.04817750664409261,0.04960487047535565,0.02275748787278691,0.04410870627788493,0.032107339479090065,0.024633397784600136
192834,874403,23.861237784677677,22.549998884752778,18.277249404336487,18.025434368644213,18.21456802400072,18.293708536510067,18.42769499478869,18.819738535216338,19.535074860003867,5.01,0.02,0.8729,10000000000.0,0.0,1.0,0.1,0.0,0.0,12.6054907,True,0.07424108665771073,0.036603643758771134,0.011458408998431596,0.01393684018487939,0.01830140028649276,0.0066136973915600075,0.029217585256060982,0.03324484557603485,0.04193767212295358
146934,736368,22.848806868273886,22.35207424117797,22.177560522191172,21.9193987406703,21.712306776144274,22.201668641920076,20.915099487722213,20.33440308436295,20.213467653032,1.84,0.2,0.753,10000000000.0,-0.3,1.0,3.0,1.0,0.4,10.2194481,True,0.05095236183136415,0.0338037063191006,0.05461655712694289,0.07176692195491552,0.0826655043903431,0.03120357254963184,0.08613989141547862,0.06195613536605939,0.054440777623868467
43552,272920,18.42801341185109,17.749914791547997,17.554716240058006,17.474122094015847,17.584434503085774,17.569871635717142,17.77652709879768,17.666900286930748,17.583715341503186,2.46,0.01,0.9128,10000000000.0,0.0,1.0,0.1,1.0,0.4,11.1132107,True,0.009132807841189885,0.0053417593637401905,0.008581521995488967,0.011132797767389895,0.014117712061413325,0.004955007543285078,0.022270210393814868,0.02081058649839038,0.019570608084721396
151936,743985,18.10572964246528,17.397645751916322,17.085806365773674,16.928041839421283,17.038792104701894,17.053453965909256,17.208754113801064,17.092553038509624,17.20564514574899,2.31,0.01,0.9128,10000000000.0,0.3,1.0,0.1,1.0,0.4,10.9335709,True,0.008038302024295908,0.004639213077456103,0.007113516119449231,0.008919167500343616,0.01129182970904427,0.004032035247273656,0.017613445501987016,0.016496975141046026,0.016861038497098444
63657,506946,19.516539659770835,18.70779895523517,16.738195739990346,16.354158612342346,16.598188829646713,16.651401506876343,17.10018146355314,17.679408766919316,18.585961284608796,5.35,0.001,0.9845,10000000000.0,-0.3,1.0,0.1,0.0,0.0,12.6980972,True,0.01403603104022685,0.007838704988367692,0.006189909792731746,0.007070405466149378,0.009435486986230665,0.0034340318589295487,0.01684396459826781,0.02091627388374788,0.028997751244746225
204150,957694,22.024400744940365,21.032002782055045,20.495987822512586,20.103457623289138,19.91499860712304,20.357679174103943,19.021742069459066,18.78835133795172,18.288618124598536,1.51,0.04,0.8371,10000000000.0,0.3,1.0,3.0,1.0,0.6,9.5239954,True,0.03724640145803386,0.01989593346749516,0.02784866109021301,0.03288851920644656,0.037359780845674186,0.015039878228517344,0.03754259772900392,0.03282194549717343,0.02581334702723167
22492,146355,16.81579415534116,16.901743906261792,17.23382512599128,17.479331241598388,17.73982471464024,17.40739912586631,18.09218392154084,17.708971152861594,17.890704521292918,2.23,0.06,0.8168,10000000000.0,-0.3,1.0,3.0,0.0,0.0,10.8294754,True,0.00481597606638451,0.003804033387018293,0.007547520824605939,0.011156406241448584,0.015048191869307906,0.004643915619679828,0.025393602670489897,0.02116821900128552,0.02208230072521761
111061,639158,18.90294212023334,18.592108557198998,18.494293450919603,18.510238202745064,18.542346465540614,18.553841296917728,18.30500734638088,17.79104030841912,17.707044597896683,1.95,0.03,0.8495,10000000000.0,-0.3,1.0,0.1,1.0,0.4,10.4110374,True,0.011019561676033306,0.007483837001606381,0.012498109345444756,0.016995123308839198,0.020964490874752502,0.0073364222608297315,0.02775391922420423,0.021883879763639227,0.020543967529582915
8612,108772,23.500666429096842,19.08380630810613,18.181729208450772,18.318962854823376,18.30004960264452,18.28631706219469,18.47379307957751,18.94701256516205,19.22024571977429,3.75,0.02,0.8754,10000000000.0,0.0,1.0,3.0,1.0,0.2,12.1122513,True,0.06500762802877047,0.009112642232750512,0.01102869991523403,0.01571391211809379,0.018960261375053883,0.006594233479420657,0.029788204040545305,0.03501743409650481,0.03712310724307402
